,Date,DF type,Lambda,Mu,Delta,MeanSpread,Volatility,SimSpread,SimVolatility
47,12/10,tempo_prezzo.csv,0.005367506377615055,0.09091373596694842,0.1501396959330725,44.29276269017489,3.8723407330874897,85.888952,7.749294361625851
48,13/10,tempo_prezzo.csv,0.005584959322731647,0.07298648792424726,0.1531021113233996,46.91454208802165,4.6647431933418435,82.566492,7.003987586488444
49,14/10,tempo_prezzo.csv,0.0042928782084176885,0.061329245458870404,0.16777570017821644,54.766883886255904,6.511476677966218,108.661728,10.093161186853477
50,15/10,tempo_prezzo.csv,0.0037192497741884065,0.07559978400061715,0.1704860002431217,63.129774072081766,7.353800329568051,130.183864,11.8966291469294
51,18/10,tempo_prezzo.csv,0.0022985352986707717,0.06482482117636339,0.17014734659162764,94.79870387514879,13.643395062666002,208.102018,20.149659029807875
52,19/10,tempo_prezzo.csv,0.003168014204779345,0.06902367167504206,0.1619178001029395,71.42106638787246,7.6210078608790095,149.689062,13.983631720118781
53,20/10,tempo_prezzo.csv,0.0038367086110402382,0.08297260784934474,0.1783499797694668,52.202386751095965,6.0725315531554225,135.812752,14.297317661945707
54,21/10,tempo_prezzo.csv,0.004346983336088799,0.09088696460118845,0.16506089083605355,48.62171398527865,12.405543725272278,116.990818,11.578433750739185
55,22/10,tempo_prezzo.csv,0.0032840570830697108,0.06430934871225716,0.23762746501155518,51.922166321396865,7.327349676790922,194.842802,25.553870832040868
56,25/10,tempo_prezzo.csv,0.004812170086557675,0.0582985022640195,0.1879880249149873,36.204312865497066,3.045570239017583,107.175222,11.964300325926484
57,26/10,tempo_prezzo.csv,0.0041315739356349804,0.061312655504872485,0.1410369523156807,44.240255591054314,3.365641960035702,99.23517,9.461565570371855
58,28/10,tempo_prezzo.csv,0.0057278532375426025,0.0624973440807292,0.18181008948186647,37.21204224386231,6.80467240427432,89.140676,8.919297680184366
59,29/10,tempo_prezzo.csv,0.004771101981921864,0.08770544355901141,0.15837632136535862,43.61042793900639,5.535870979126968,101.169276,9.773542655775953
60,1/10,tempo_segno.csv,0.0049869729595320295,0.08112904702656995,0.15815035859020282,38.0429172510519,7.261730093948644,94.834996,9.371776387664472
61,4/10,tempo_segno.csv,0.004482175671251314,0.12743317329743514,0.16318483443298665,47.15006483555346,9.832316481465025,123.043536,12.198465707011321
62,5/10,tempo_segno.csv,0.003048171365328121,0.18757897001584287,0.17024682486775694,71.28600777753319,9.05763453240254,211.931348,21.398139890204977
63,6/10,tempo_segno.csv,0.0015589425470685363,0.09839143092007499,0.17236607061109685,151.2275723703067,26.366326254479393,333.322816,32.19563204252162
64,7/10,tempo_segno.csv,0.0019231413342937894,0.1541696856136794,0.13810468774202098,126.51283388377078,12.75029909051825,268.145322,23.681557880181092
65,8/10,tempo_segno.csv,0.002239494130566895,0.10009381851487115,0.15217333718739257,93.74254495788753,12.014150497636187,217.510454,20.80181414999528
66,11/10,tempo_segno.csv,0.0031765131897240955,0.11392513893309626,0.18048405993977906,71.08870281010502,6.142190827531891,182.725278,18.195749961752973
67,12/10,tempo_segno.csv,0.005141645960735214,0.10483442412037813,0.15003186462218843,44.29276269017489,3.8723407330874897,95.641706,8.777221746044882
68,13/10,tempo_segno.csv,0.005398296243763343,0.08951999426598356,0.15415110640432528,46.91454208802165,4.6647431933418435,88.081918,7.616902029985227
69,14/10,tempo_segno.csv,0.004137446411216358,0.14207918834128813,0.16746140596054468,54.766883886255904,6.511476677966218,139.130116,13.762606032966636
70,15/10,tempo_segno.csv,0.003547968534587625,0.09295756933517442,0.17684952687241015,63.129774072081766,7.353800329568051,147.420918,14.470481359984593
71,18/10,tempo_segno.csv,0.002213228833977836,0.10367339328800176,0.16921217760866827,94.79870387514879,13.643395062666002,239.596674,24.135654342893236
72,19/10,tempo_segno.csv,0.003052309982279688,0.08475044992377088,0.163289607915117,71.42106638787246,7.6210078608790095,162.130634,15.47338659929964
73,20/10,tempo_segno.csv,0.003668250974892414,0.1329155728173961,0.1864816225863963,52.202386751095965,6.0725315531554225,166.277698,18.42974489272691
74,21/10,tempo_segno.csv,0.004157579062159215,0.12580102673039478,0.16978704944424633,48.62171398527865,12.405543725272278,136.22989,14.120941303679674
75,22/10,tempo_segno.csv,0.0030554431645797753,0.13008757750488553,0.2341298181690401,51.922166321396865,7.327349676790922,232.434722,31.87391900744911
76,25/10,tempo_segno.csv,0.004581765226052178,0.08753057248269287,0.1861740980437813,36.204312865497066,3.045570239017583,118.866208,14.097939335370507
77,26/10,tempo_segno.csv,0.0039163877931539925,0.12409253390330187,0.14080910037207653,44.240255591054314,3.365641960035702,124.200668,12.86491723689628
78,28/10,tempo_segno.csv,0.00538291120421991,0.11454034885513742,0.1820152859881687,37.21204224386231,6.80467240427432,104.696718,11.286664732222782
79,29/10,tempo_segno.csv,0.004371522190935908,0.1410092542918455,0.16486677846660533,43.61042793900639,5.535870979126968,129.656786,13.964258734392027
80,1/10,tempo_segno_prezzo.csv,0.005267601903849783,0.059986061330147354,0.16553030303030306,38.0429172510519,7.261730093948644,88.557748,8.682058296065081
81,4/10,tempo_segno_prezzo.csv,0.004825998611699914,0.06855566623988212,0.16773150741746046,47.15006483555346,9.832316481465025,98.199456,9.284984379193636
82,5/10,tempo_segno_prezzo.csv,0.0032938794753849887,0.07280128712508276,0.1792557072546019,71.28600777753319,9.05763453240254,153.252612,14.444351604644169
83,6/10,tempo_segno_prezzo.csv,0.0016387758457647866,0.06623907607513291,0.17718619753747863,151.2275723703067,26.366326254479393,297.490572,27.16264551030739
84,7/10,tempo_segno_prezzo.csv,0.0020676387049648657,0.0866842038009721,0.14491941380698992,126.51283388377078,12.75029909051825,217.280226,17.890589569558358
85,8/10,tempo_segno_prezzo.csv,0.0023550048804592927,0.0796967824419348,0.15195392759905513,93.74254495788753,12.014150497636187,197.471868,17.989001103683368
86,11/10,tempo_segno_prezzo.csv,0.003292963775090763,0.09423439414109464,0.18787372642920885,71.08870281010502,6.142190827531891,172.112704,16.962577603597808
87,12/10,tempo_segno_prezzo.csv,0.005386063011591252,0.08227736841334252,0.15638327395750817,44.29276269017489,3.8723407330874897,86.795632,7.813990793244143
88,13/10,tempo_segno_prezzo.csv,0.005584959322731647,0.06773367250545674,0.15714230592776707,46.91454208802165,4.6647431933418435,80.619188,6.850187468247617
89,14/10,tempo_segno_prezzo.csv,0.0042928782084176885,0.055753859508064,0.17232940874963537,54.766883886255904,6.511476677966218,110.80883,10.265009826632095
90,15/10,tempo_segno_prezzo.csv,0.0037286004964365233,0.06766951124684853,0.17728547994336533,63.129774072081766,7.353800329568051,131.855122,12.463769983079933
91,18/10,tempo_segno_prezzo.csv,0.0022997664370203543,0.06116992786242578,0.17328752809712716,94.79870387514879,13.643395062666002,211.571724,20.721780758042865
92,19/10,tempo_segno_prezzo.csv,0.0031714006443354964,0.0659375097701466,0.16423015218313183,71.42106638787246,7.6210078608790095,144.284236,13.320617098230839
93,20/10,tempo_segno_prezzo.csv,0.0038367086110402382,0.07005858328135334,0.18895027574387788,52.202386751095965,6.0725315531554225,138.89886,14.700618140620735
94,21/10,tempo_segno_prezzo.csv,0.004346983336088799,0.08608858448249215,0.1683199328153949,48.62171398527865,12.405543725272278,114.91196,11.333574652325224
95,22/10,tempo_segno_prezzo.csv,0.0032840570830697108,0.05974545944880665,0.24158193114639195,51.922166321396865,7.327349676790922,194.024108,25.23143011702134
96,25/10,tempo_segno_prezzo.csv,0.004812170086557675,0.0556078021595263,0.1901446752964212,36.204312865497066,3.045570239017583,106.938804,12.030771815596077
97,26/10,tempo_segno_prezzo.csv,0.0041315739356349804,0.06186502177068215,0.14071047788902402,44.240255591054314,3.365641960035702,98.553292,9.444293721044883
98,28/10,tempo_segno_prezzo.csv,0.0057278532375426025,0.05855232900586589,0.18522689630694608,37.21204224386231,6.80467240427432,88.183778,8.969859888357947
99,29/10,tempo_segno_prezzo.csv,0.0047743587068242,0.08374371969708067,0.16171057418782256,43.61042793900639,5.535870979126968,102.46626,10.184073592168797
100,1/10,tempo_segno_volume.csv,0.005036535062282691,0.06683582160303007,0.16456510548364242,38.0429172510519,7.261730093948644,92.091796,9.392678156138743
101,4/10,tempo_segno_volume.csv,0.004643587354650543,0.07792398114260903,0.16791912418195043,47.15006483555346,9.832316481465025,105.918418,10.257842923669815
102,5/10,tempo_segno_volume.csv,0.0031581855706389068,0.08113448784913033,0.17854872937849298,71.28600777753319,9.05763453240254,161.417264,15.991746620426424
103,6/10,tempo_segno_volume.csv,0.0015939270267783393,0.062370135176149234,0.18198698285329626,151.2275723703067,26.366326254479393,310.700416,29.43302351281204
104,7/10,tempo_segno_volume.csv,0.0019813372633663323,0.08780923884272793,0.15057318243748638,126.51283388377078,12.75029909051825,232.057866,20.25604833413932
105,8/10,tempo_segno_volume.csv,0.002286412505300284,0.07875414529799599,0.15594168281828746,93.74254495788753,12.014150497636187,199.966068,19.03525201255918
