DateTime,Seconds,Sign,MidPrice
2021-10-01 09:07:44+00:00,32864.0,-1.0,131.575
2021-10-01 09:08:39+00:00,32919.0,1.0,131.55
2021-10-01 09:08:46+00:00,32926.0,1.0,131.56
2021-10-01 09:11:01+00:00,33061.0,1.0,131.7
2021-10-01 09:11:08+00:00,33068.0,1.0,131.75
2021-10-01 09:11:10.580000+00:00,33070.58,1.0,131.75
2021-10-01 09:11:14+00:00,33074.0,1.0,131.75
2021-10-01 09:11:14+00:00,33074.0,1.0,131.75
2021-10-01 09:12:01.868000+00:00,33121.868,1.0,131.75
2021-10-01 09:12:07.842000+00:00,33127.842,1.0,131.75
2021-10-01 09:12:57+00:00,33177.0,1.0,131.815
2021-10-01 09:12:59+00:00,33179.0,1.0,131.815
2021-10-01 09:14:26+00:00,33266.0,1.0,132.35
2021-10-01 09:14:33+00:00,33273.0,1.0,132.475
2021-10-01 09:14:34+00:00,33274.0,1.0,132.375
2021-10-01 09:14:35+00:00,33275.0,1.0,132.375
2021-10-01 09:14:37+00:00,33277.0,1.0,132.375
2021-10-01 09:14:47.397000+00:00,33287.397,1.0,132.325
2021-10-01 09:14:50+00:00,33290.0,1.0,132.325
2021-10-01 09:14:58+00:00,33298.0,1.0,132.5
2021-10-01 09:14:59.300000+00:00,33299.3,1.0,132.325
2021-10-01 09:15:00+00:00,33300.0,-1.0,132.325
2021-10-01 09:16:00+00:00,33360.0,-1.0,132.425
2021-10-01 09:21:35+00:00,33695.0,1.0,132.325
2021-10-01 09:21:38.381000+00:00,33698.381,-1.0,132.325
2021-10-01 09:22:24.333000+00:00,33744.333,-1.0,132.325
2021-10-01 09:22:31.771000+00:00,33751.771,1.0,132.1
2021-10-01 09:31:48+00:00,34308.0,1.0,132.25
2021-10-01 09:31:56.640000+00:00,34316.64,1.0,132.25
2021-10-01 09:36:19.105000+00:00,34579.105,1.0,132.25
2021-10-01 09:36:19.141000+00:00,34579.141,1.0,132.25
2021-10-01 09:36:22.282000+00:00,34582.282,1.0,132.25
2021-10-01 09:38:05.372000+00:00,34685.372,1.0,132.25
2021-10-01 09:40:24.079000+00:00,34824.079,-1.0,132.625
2021-10-01 09:42:40.564000+00:00,34960.564,1.0,132.3
2021-10-01 09:42:40.564000+00:00,34960.564,1.0,132.3
2021-10-01 09:42:40.565000+00:00,34960.565,1.0,132.3
2021-10-01 09:45:33+00:00,35133.0,1.0,132.5
2021-10-01 09:45:47.809000+00:00,35147.809,1.0,132.525
2021-10-01 09:46:14+00:00,35174.0,1.0,132.55
2021-10-01 09:48:31.044000+00:00,35311.044,1.0,132.55
2021-10-01 09:48:58.841000+00:00,35338.841,1.0,132.55
2021-10-01 09:49:07+00:00,35347.0,1.0,132.47500000000002
2021-10-01 09:51:13+00:00,35473.0,1.0,132.525
2021-10-01 09:55:16.166000+00:00,35716.166,-1.0,133.0
2021-10-01 09:56:10.499000+00:00,35770.499,-1.0,133.35
2021-10-01 09:57:14.426000+00:00,35834.426,-1.0,133.5
2021-10-01 09:57:14.426000+00:00,35834.426,1.0,133.5
2021-10-01 09:57:25.012000+00:00,35845.012,1.0,133.075
2021-10-01 09:59:05.738000+00:00,35945.738,1.0,133.475
2021-10-01 09:59:10.935000+00:00,35950.935,1.0,133.35
2021-10-01 09:59:39+00:00,35979.0,1.0,133.375
2021-10-01 10:00:12.114000+00:00,36012.114,1.0,133.5
2021-10-01 10:00:25+00:00,36025.0,-1.0,133.45
2021-10-01 10:00:50.802000+00:00,36050.802,1.0,133.45
2021-10-01 10:00:50.853000+00:00,36050.853,1.0,133.25
2021-10-01 10:00:50.853000+00:00,36050.853,1.0,133.25
2021-10-01 10:03:54.939000+00:00,36234.939,1.0,133.275
2021-10-01 10:03:58.014000+00:00,36238.014,1.0,133.275
2021-10-01 10:04:06.144000+00:00,36246.144,1.0,133.275
2021-10-01 10:04:41+00:00,36281.0,1.0,133.325
2021-10-01 10:04:59+00:00,36299.0,1.0,133.375
2021-10-01 10:05:38+00:00,36338.0,1.0,133.4
2021-10-01 10:05:40.145000+00:00,36340.145,1.0,133.41500000000002
2021-10-01 10:05:42+00:00,36342.0,1.0,133.41500000000002
2021-10-01 10:05:47+00:00,36347.0,1.0,133.465
2021-10-01 10:05:58.923000+00:00,36358.923,1.0,133.525
2021-10-01 10:06:28+00:00,36388.0,1.0,133.5
2021-10-01 10:07:26+00:00,36446.0,1.0,133.625
2021-10-01 10:07:27+00:00,36447.0,1.0,133.625
2021-10-01 10:07:29+00:00,36449.0,1.0,133.625
